"X","NDX","ATVI","ADBE","AMD","ALXN","ALGN","GOOGL","GOOG","AMZN","AMGN","ADI","ANSS","AAPL","AMAT","ASML","ADSK","ADP","BIDU","BIIB","BMRN","BKNG","AVGO","CDNS","CDW","CERN","CHTR","CHKP","CTAS","CSCO","CTXS","CTSH","CMCSA","CPRT","COST","CSX","DXCM","DOCU","DLTR","EBAY","EA","EXC","EXPE","FB","FAST","FISV","GILD","IDXX","ILMN","INCY","INTC","INTU","ISRG","JD","KLAC","KHC","LRCX","LBTYA","LBTYK","LULU","MAR","MXIM","MELI","MCHP","MU","MSFT","MRNA","MDLZ","MNST","NTES","NFLX","NVDA","NXPI","ORLY","PCAR","PAYX","PYPL","PEP","PDD","QCOM","REGN","ROST","SGEN","SIRI","SWKS","SPLK","SBUX","SNPS","TMUS","TTWO","TSLA","TXN","TCOM","ULTA","VRSN","VRSK","VRTX","WBA","WDAY","WDC","XEL","XLNX"
"2019-01-02",6360.870117,46.35038,224.570007,18.83,98.050003,202.119995,1054.680054,1045.849976,1539.130005,182.458298,82.851608,143.009995,38.629097,32.536137,153.048553,128.960007,125.159172,162.25,304.690002,84.959999,1721.699951,235.462082,43.23,77.5289,51.063816,287.98999,103.5,165.878006,40.382099,99.968712,61.649429,33.12178,47.68,201.447266,60.481594,115.18,40.82,91.199997,28.105513,80.370003,41.52734,110.296707,135.679993,24.559025,72.209999,59.370525,182.460007,294.519989,63.560001,45.145596,191.825531,466.029999,21.27,87.492149,39.393467,133.541534,21.360001,20.700001,123.349998,105.518723,47.961525,298.01001,69.420082,32.75,98.860214,15.33,38.419731,48.759998,44.063419,267.660004,135.506561,73.355392,341.149994,54.536522,61.546516,85.75,103.860535,22.209999,54.205219,372.440002,82.688972,57.490002,5.816079,65.834534,103.32,62.150398,84.050003,65.260002,104.010002,62.023998,89.888748,27.59,247.970001,147.759995,107.364159,164.080002,63.920757,159.740005,36.312473,46.041862,84.600266
"2019-01-03",6147.129883,44.704514,215.699997,17.049999,100.209999,184.779999,1025.469971,1016.059998,1500.280029,179.681961,77.846962,137.639999,34.781353,30.650827,144.607849,121.849998,121.379601,154.710007,307,84.199997,1663.119995,214.517471,41.529999,75.531197,49.911999,287.5,102.349998,163.223785,38.913486,98.530945,59.704865,33.381977,46.889999,197.177475,59.534588,112.260002,38.830002,90.760002,27.589191,78.709999,41.574455,106.88871,131.740005,23.861574,70.110001,61.064423,178.020004,284.23999,68.059998,42.662006,185.956436,450.23999,20.35,82.583893,39.366199,127.101006,21.389999,20.57,124.360001,99.902061,45.235149,296.589996,64.526123,31,95.223351,15.5,38.275265,48,42.367931,271.200012,127.319656,70.363708,346.130005,53.273495,60.506081,82.089996,102.891121,21.52,52.599842,372.079987,81.998093,56.369999,5.85551,58.820972,100.809998,59.454502,81.110001,65.019997,99.150002,60.071999,84.587738,26.959999,243.360001,142.589996,104.08345,163.729996,63.253742,154.020004,33.835327,45.860447,81.41497
"2019-01-04",6422.669922,46.488358,226.190002,19,106,186.710007,1078.069946,1070.709961,1575.390015,185.824142,79.736969,143.660004,36.266144,32.749928,150.864944,128.279999,126.217102,160.949997,318.329987,87.099998,1717.550049,216.625854,43.259998,76.26564,51.418221,302.73999,105.349998,170.8992,40.666344,100.389267,62.245499,34.509483,48.560001,202.903336,61.301678,116.239998,40.900002,92.889999,28.222414,84.419998,42.045605,111.390015,137.949997,24.840874,73.220001,63.871971,187.429993,302.690002,72.269997,45.279839,193.334717,471.679993,22.27,87.867485,40.438751,133.309784,22.77,21.98,128.550003,105.862404,47.225689,315.329987,67.143379,32.700001,99.652115,16.959999,39.334717,49.790001,44.065342,297.570007,135.476715,73.766022,341.820007,55.639317,62.61533,86.269997,105.00103,22.690001,53.449738,397.549988,84.228653,59.540001,6.082238,61.639961,108.040001,61.425697,83.900002,67.489998,101.699997,63.537998,88.413605,28.549999,255.029999,148.970001,108.678413,172.699997,65.358139,163.350006,35.268467,46.309223,85.184715
"2019-01-07",6488.25,47.799141,229.259995,20.57,107.940002,189.919998,1075.920044,1068.390015,1629.51001,188.324738,80.238388,147.320007,36.185429,33.333015,154.311707,132.720001,125.534264,162.600006,322.399994,90.190002,1711.819946,221.037689,43.419998,75.962067,51.122887,301.470001,104.870003,171.186417,40.941113,100.790291,62.147785,34.143288,48.830002,203.651001,60.969742,129.949997,41.689999,97.959999,28.709513,87.589996,42.120987,112.837914,138.050003,25.022406,73.07,64.162086,186.889999,307.890015,74.209999,45.490799,196.284042,478.440002,22.76,89.118614,41.202259,134.497452,21.68,21.040001,134.100006,106.058792,47.716251,328.940002,69.108727,34,99.779205,16.27,39.604393,49.73,45.933441,315.339996,142.648941,74.313522,339.690002,55.573341,62.284286,86.93,104.098137,23.209999,53.298649,396.630005,87.771904,62.919998,6.131527,62.473064,112.900002,61.425697,85.760002,68.440002,104.410004,66.991997,89.936325,29.18,271,151.399994,108.787117,175.850006,65.73391,163.5,36.521275,46.108707,87.434891
"2019-01-08",6551.850098,49.247898,232.679993,20.75,108.610001,192.949997,1085.369995,1076.280029,1656.579956,190.739777,82.195892,148.050003,36.875229,31.982201,153.175827,133.869995,126.27478,163.399994,324.440002,92.300003,1686.920044,219.263672,43.669998,78.606087,52.304237,300.709991,107.57,173.038406,41.272739,101.572746,62.851341,34.422756,49.630001,205.175949,61.848404,131.520004,42.080002,98.599998,29.225834,89.019997,42.771179,115.211693,142.529999,25.672087,73.550003,63.722237,189.289993,293.75,74.900002,45.778473,200.989166,482.98999,22.950001,87.703873,41.238621,132.218643,20.76,20.280001,135.860001,107.777176,46.999271,328.48999,70.986534,33.740002,100.50267,16.950001,40.529018,52.830002,46.493481,320.269989,139.097656,74.733925,336.070007,56.1106,62.757206,88.699997,105.096062,24,52.835922,397.26001,90.347916,67.230003,6.259678,63.151165,115.089996,61.474007,86.099998,67.769997,107.919998,67.07,89.822121,29.48,276,156.919998,109.755516,178.190002,67.049149,166.949997,36.170105,46.64341,85.76918
"2019-01-09",6600.689941,50.09547,235.429993,20.190001,109.959999,200.320007,1081.650024,1074.660034,1659.420044,190.511566,84.278755,150.639999,37.501434,33.333015,159.530838,136.770004,126.390182,166.639999,326.630005,90.860001,1649.48999,228.746796,43.849998,79.644142,52.599579,297.640015,107.5,174.55368,41.045338,102.521477,62.792717,34.750408,50.299999,206.504089,62.463478,138.75,42.669998,97.169998,29.508352,88.910004,42.422527,112.897018,144.229996,25.743744,73.32,63.581871,192.220001,305.23999,73.699997,46.037373,200.366318,517.109985,23.690001,89.965523,41.020473,139.045395,20.91,20.34,136,107.227295,48.272842,339.959991,73.798363,35.439999,101.939812,16.33,40.384544,53.330002,49.567993,319.959991,141.833252,78.155815,343.540009,55.262291,62.719364,89.550003,102.159309,25.540001,53.459187,399.579987,89.163544,69.379997,5.973803,65.572983,115.910004,61.725243,86.959999,67.720001,107.459999,67.706001,91.592308,30.18,281.190002,155.639999,110.17054,182.300003,67.857094,166.179993,37.764587,46.271027,86.538719
"2019-01-10",6620.939941,50.607952,237.770004,19.74,110.93,202.639999,1078.829956,1070.329956,1656.219971,192.707916,85.445541,152.600006,37.6213,33.780045,159.22728,136.710007,127.390396,168.350006,331.190002,93.940002,1677.329956,231.756165,44.32,80.241478,53.229626,292.670013,107.82,175.771835,40.969547,103.528885,63.330151,34.519123,50.599998,207.232132,63.156658,141.899994,44.029999,96.410004,29.781128,91.010002,43.148098,112.48333,144.199997,26.025593,74.379997,63.675449,192.720001,309.769989,75.120003,46.564781,203.727814,518.070007,23.4,90.186882,41.447674,139.595779,20.559999,19.790001,131.610001,108.061951,48.791702,339.589996,74.547531,35.91,101.284798,16.48,40.77943,53.259998,48.936977,324.660004,144.469391,78.243805,343.440002,55.761845,63.759815,90.699997,102.786575,26.379999,53.638611,408.059998,89.54847,71,5.983661,66.444832,116.699997,62.02478,87.82,67.959999,110,68.994003,93.000824,30.08,277.029999,157.759995,111.306938,186.029999,68.091957,167.960007,37.783577,47.044445,88.029083
"2019-01-11",6601.399902,45.867462,237.550003,20.27,111.129997,198.25,1064.469971,1057.189941,1640.560059,190.692215,86.843758,154.75,37.25193,33.79948,158.649567,136.740005,126.611374,166.110001,333.209991,94.459999,1665.890015,232.7314,44.450001,78.919456,53.042583,294.540009,105.389999,176.078857,41.206413,103.812531,63.43763,34.336021,50.66,207.104218,63.674088,141.100006,43.48,97.279999,29.625256,90.699997,43.148098,112.503029,143.800003,26.197567,74.099998,63.787743,192.910004,307.070007,74.650002,46.919579,203.816788,505.320007,22.879999,90.49485,41.45676,139.151611,20.91,20.34,132.160004,107.443321,49.867161,344.950012,75.043724,36.009998,100.50267,17,40.673485,54.369999,46.687195,337.589996,148.050507,77.706078,338.730011,56.025764,63.646309,90.650002,102.796082,26.16,54.299652,408.630005,90.022217,71.410004,5.983661,67.830109,117.169998,61.580296,87.709999,69,109.029999,69.452003,93.828812,29.82,284.109985,157.929993,110.684402,188.160004,67.368568,167.460007,37.992371,47.063534,88.564835
"2019-01-14",6541.040039,46.606625,234.559998,20.23,107.580002,193.940002,1051.51001,1044.689941,1617.209961,187.098221,84.375191,153.600006,36.691772,32.905418,155.388824,134.75,125.890091,163.029999,330.420013,93.150002,1692.880005,233.010025,44.380001,77.597443,53.200096,291.559998,104.300003,174.959747,40.941113,103.675598,63.154263,34.47094,49.919998,205.618652,63.722893,142.740005,43.220001,97.230003,29.430414,88.580002,42.441376,113.478157,145.389999,25.829733,73.879997,62.936127,189.789993,299.190002,73.540001,46.363407,202.828125,502.709991,22.040001,88.955009,42.038486,135.598221,21.4,20.879999,139.729996,106.17662,48.225666,339.769989,72.231903,34.669998,99.769432,16.74,40.914265,54.150002,46.046604,332.940002,149.652069,76.855492,341.149994,56.525322,63.589561,90.43,101.997749,24.370001,54.110783,400.730011,89.44976,70.339996,5.865368,66.212341,114.32,61.232441,87.410004,67.910004,104.980003,66.879997,91.677963,29.65,274.899994,157,109.864227,183.910004,66.372749,163.330002,36.122654,46.719799,88.214165
"2019-01-15",6669.640137,46.163128,242.360001,20.379999,111.730003,195.050003,1086.51001,1077.150024,1674.560059,189.570282,84.481262,156.160004,37.442734,32.798515,155.917603,135.880005,127.265358,167.929993,337.540009,94.93,1698.310059,238.229935,45.27,78.821541,53.603722,294,105.900002,175.831268,41.708588,105.064461,64.483208,34.528759,49.360001,207.615799,63.566696,147.050003,44.990002,95.949997,29.878546,89.489998,43.148098,114.975296,148.949997,26.078142,75.040001,64.124657,196.009995,305.480011,78.760002,46.603134,207.435394,515.460022,22.25,89.041618,42.638378,135.182999,21.92,21.41,141.130005,108.189598,48.763397,350.100006,72.981079,33.990002,102.663292,16.59,41.357315,54.759998,47.37767,354.640015,149.085068,76.327545,344.149994,56.148296,64.450287,91.599998,103.584923,24.41,52.62817,405.019989,89.666901,72.010002,5.894941,66.309212,117.879997,61.918495,88.470001,67.139999,106.489998,68.886002,92.915176,30.530001,278.48999,160.449997,111.287178,186.679993,67.443733,164.470001,35.761997,47.636425,88.847321
