,NDX,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AMGN,ADI,ANSS,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CDW,CERN,CHTR,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,CPRT,COST,CSX,DXCM,DOCU,DLTR,EBAY,EA,EXC,EXPE,FB,FAST,FISV,GILD,IDXX,ILMN,INCY,INTC,INTU,ISRG,JD,KLAC,KHC,LRCX,LBTYA,LBTYK,LULU,MAR,MXIM,MELI,MCHP,MU,MSFT,MRNA,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,PCAR,PAYX,PYPL,PEP,PDD,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TTWO,TSLA,TXN,TCOM,ULTA,VRSN,VRSK,VRTX,WBA,WDAY,WDC,XEL,XLNX
1/2/20,8872.219727,58.266792,334.429993,49.099998,107.839996,283.679993,1368.680054,1367.369995,1898.01001,231.917572,117.996941,259.589996,74.333511,61.372074,300.139832,187.830002,166.27565,138.220001,294.23999,84.040001,2074.580078,308.307312,71.440002,142.049454,72.82061,490.429993,112.260002,267.396851,46.776043,110.464371,60.898899,44.173084,93.480003,281.102661,72.227463,219.380005,75.900002,93.779999,35.785511,107.197159,43.763309,110.569191,209.779999,35.799721,115.519997,62.684235,265.019989,327,85.970001,59.005745,263.729004,597.26001,37.73,178.840973,29.968931,293.054108,22.48,21.6,233.419998,150.884995,60.980679,610.190002,105.850266,55.389999,158.571075,19.23,53.114819,63.700001,65.021278,329.809998,239.514771,126.860451,437.519989,77.35762,81.75016,110.75,131.974045,41.23,86.475868,373.350006,116.471321,112.410004,7.049624,119.563385,151.979996,87.173317,142.869995,78.589996,122.080002,86.052002,125.107719,36.970001,254.550003,196.729996,150.167465,219.449997,56.046688,167.460007,64.771545,60.782249,100.115349
1/3/20,8793.900391,58.286655,331.809998,48.599998,106.410004,280.440002,1361.52002,1360.660034,1874.969971,230.343124,115.919769,256.970001,73.61084,60.395252,295.303223,184.949997,165.924194,133.800003,290.850006,84,2065.47998,300.465515,70.419998,140.341461,73.028328,494.470001,112.290001,266.192108,46.012867,110.612762,60.348141,43.822586,92.660004,281.334106,71.931412,218.699997,75.559998,93.029999,35.450333,107.057343,43.89817,108.726028,208.669998,35.165081,116.370003,62.530476,264.769989,322.730011,77.900002,58.288052,261.965271,593.340027,37.990002,175.422256,29.618137,289.906006,22.110001,21.25,232.639999,148.673859,59.925747,607.799988,103.528633,54.529999,156.596588,18.889999,53.026836,63.279999,64.222115,325.899994,235.681122,125.63665,438.75,76.59874,81.471611,108.760002,131.789413,40.889999,84.847565,369.160004,116.501228,112.650002,7.010075,116.595665,152.059998,86.665985,141.759995,78.169998,122.209999,88.601997,123.446953,36.18,250.169998,200.880005,151.62822,217.979996,56.046688,168.440002,63.774597,61.074562,97.810677
1/6/20,8848.519531,59.34967,333.709991,48.389999,106.580002,285.880005,1397.810059,1394.209961,1902.880005,232.110748,114.557854,254.589996,74.197395,59.092819,292.954254,187.119995,166.148743,135.940002,290.820007,84.589996,2047.400024,300.016022,70.849998,139.28508,73.186584,497.450012,112.800003,266.883331,46.177094,111.789917,59.748199,43.49155,93.489998,281.411194,71.556412,225.990005,75.389999,93.029999,35.272884,108.635239,43.965599,108.337479,212.600006,34.616974,116.93,63.087845,266.929993,325.529999,77.339996,58.123173,263.976715,595.76001,38,171.474579,29.684502,284.4953,22.58,21.57,235.429993,146.751572,58.841522,606.549988,102.04319,53.57,157.001373,18.129999,52.938854,63.380001,64.103432,335.829987,236.669479,124.748405,434.660004,76.316589,81.461998,110.169998,132.294678,40.09,84.350296,371.73999,117.069473,111,7.039737,114.541847,154.460007,85.98304,141.979996,78.620003,124.690002,90.307999,122.587608,35.689999,250.949997,202.740005,151.976013,224.029999,56.530506,169.490005,62.550629,60.986866,95.771927
1/7/20,8846.450195,59.945747,333.390015,48.25,106.849998,283.059998,1395.109985,1393.339966,1906.859985,229.927765,117.164116,256.670013,73.848442,60.799797,296.135773,187.5,164.137665,136.699997,290.089996,84.209999,2068.050049,298.983215,71.07,139.127106,72.227119,499.160004,112.029999,266.685852,45.877617,111.196396,59.325287,43.951317,93.370003,280.967651,72.03997,231.449997,75.239998,91.93,35.11515,108.245758,44.004135,109.61274,213.059998,34.549664,116.480003,62.578529,266.119995,329.690002,77.139999,57.153324,264.036133,582.799988,38.32,172.836182,29.163059,291.430786,22.280001,21.4,233.699997,144.36116,60.169949,625,108.890022,58.27,155.569855,17.780001,52.713993,63.689999,64.888756,330.75,239.534729,126.366974,428.769989,75.810661,81.010551,109.669998,130.215286,41.209999,86.748894,373.130005,118.435272,111.32,6.9903,115.632629,153.410004,85.71962,142.960007,78.919998,125.510002,93.811996,124.953224,37.330002,253.089996,203.210007,153.247955,223.789993,56.245903,172.949997,66.785164,60.860199,97.958405
1/8/20,8912.370117,59.488754,337.869995,47.830002,108.580002,286,1405.040039,1404.319946,1891.969971,230.101654,118.222298,257.730011,75.036385,60.76033,299.208221,189.949997,165.680145,137.830002,292.660004,84.709999,2062.899902,295.25354,72.279999,138.9198,72.642555,500.769989,111.480003,271.830566,45.906601,112.531822,59.728527,44.401295,94.010002,284.188629,72.414963,233.229996,76.269997,89.790001,35.095432,109.344299,44.322029,108.217926,215.220001,34.809292,116.800003,63.231995,271.679993,332.160004,76.529999,57.192123,270.387634,581.780029,38.299999,173.061462,29.001884,295.100281,21.360001,20.469999,237.270004,146.143997,60.15041,633.440002,107.512779,57.52,158.047836,17.98,52.841084,63.82,65.478233,339.26001,239.984009,126.6828,431.899994,76.82251,81.807793,111.82,130.885742,40.5,86.495377,382.420013,118.784195,111.199997,6.980413,117.470253,155.759995,86.71476,145.860001,79.419998,127.82,98.428001,125.291168,36.869999,258,204.149994,154.658997,231.089996,52.963551,178.710007,67.752487,60.801735,97.68264
1/9/20,8989.629883,58.952282,340.450012,48.970001,110.739998,296.540009,1419.790039,1419.829956,1901.050049,230.787445,118.222298,261.429993,76.630219,61.145138,298.702759,191.940002,167.144516,140.860001,294.299988,89.580002,2084.290039,292.881927,73.360001,140.163757,72.959091,507.279999,111.709999,275.849579,45.71339,112.818687,60.102261,44.518681,95.290001,288.750092,72.770233,239.270004,75.800003,91.059998,34.681389,109.21447,44.456894,109.353706,218.300003,34.828526,117.800003,63.270424,277.940002,334.600006,77.949997,57.512169,272.91925,585.789978,38.900002,171.905579,28.992403,293.093384,20.799999,19.969999,235.899994,145.865128,60.589962,646.429993,108.526024,57.310001,160.022308,18.4,52.977951,64.25,66.934143,335.660004,242.619659,127.492081,437.369995,76.326317,82.364891,112.57,130.97319,39.66,87.665421,383.470001,121.755043,111.830002,6.970526,117.578354,154.520004,88.32457,148.669998,79.809998,128.020004,96.267998,126.807114,37.119999,263.5,208.880005,156.149536,230.259995,51.872589,179.479996,67.73275,60.938148,99.97747
1/10/20,8966.639648,58.564831,339.809998,48.169998,109.480003,293.329987,1428.959961,1429.72998,1883.160034,230.140259,116.174522,260.799988,76.803459,60.651794,293.54895,192.360001,167.027359,144.509995,296.51001,91.099998,2086.899902,286.149384,73.029999,140.548798,72.682121,505.029999,112.620003,275.345978,45.529842,112.512032,59.640015,44.000229,95.309998,286.647736,72.395233,237.300003,74.830002,91.349998,34.395496,108.445496,44.562855,110.280266,218.059998,34.934299,117.129997,62.492035,281.640015,335.529999,76.470001,57.163025,273.266693,598.719971,39.110001,169.476227,29.106173,289.561646,20.629999,19.860001,234.839996,144.809357,60.02343,669.47998,109.02774,56.669998,159.281876,19.139999,53.03661,65.339996,67.040955,329.049988,243.917511,127.946091,436.850006,75.703644,81.903831,112.93,130.720535,38.419998,88.006683,381.410004,120.34938,112.440002,6.92109,118.000916,155.779999,87.963585,148.460007,79,126.760002,95.629997,125.522919,36.700001,267.279999,209.119995,156.328415,228.949997,51.436207,180.110001,67.061546,61.035583,97.968269
1/13/20,9070.650391,58.852936,345.630005,48.75,113.919998,298.070007,1440.030029,1439.22998,1891.300049,228.845932,116.65461,264.049988,78.444321,60.987267,298.772125,192.449997,168.267212,142.259995,293.899994,88.269997,2080.5,288.023773,73.389999,141.526199,72.276573,510.149994,113.440002,279.305725,46.341324,113.896912,60.151436,44.802368,96.260002,289.184052,73.707748,235.839996,74.150002,90.769997,34.237762,109.673859,44.495422,110.180626,221.910004,35.184307,118.529999,61.800137,282.290009,323.149994,77.099998,57.793427,274.051025,603.119995,40.310001,171.52356,29.54229,292.463776,20.77,20,245.179993,146.21373,60.404377,691.099976,109.401558,57.450001,161.197144,20.26,53.369011,65.529999,69.141739,338.920013,251.56488,130.255478,435.5,75.946869,82.854774,115.279999,132.66391,39.349998,88.698952,378.929993,119.601677,105.470001,6.970526,122.35421,156.460007,88.861176,149.929993,79.400002,128.449997,104.972,125.474617,37.650002,275.700012,211.75,157.023987,226.490005,51.284424,181.919998,68.236153,61.746887,97.4561
1/14/20,9033.419922,59.657642,344.630005,48.209999,112.790001,287.609985,1430.589966,1430.880005,1869.439941,231.820984,117.115128,262.869995,77.385063,61.520077,299.862335,191.110001,167.164047,140.039993,298.970001,89.019997,2071.47998,294.718018,72.610001,142.128464,73.40419,509.619995,113.68,277.992371,46.167435,113.718857,60.357971,45.027355,96.339996,289.068268,73.678131,235.059998,72.800003,90.57,34.848972,109.434181,44.129364,110.001297,219.059998,35.405472,117.550003,61.694427,284.019989,317.109985,81.470001,57.638252,270.71524,602.690002,40.290001,173.854919,30.082697,295.877502,21.02,20.23,243.770004,146.562317,60.74625,652.070007,108.329292,57.52,160.061798,20,52.977951,65.580002,69.019096,338.690002,246.872635,130.975952,438.51001,76.083084,83.200546,114.639999,132.974869,38.02,88.299187,387.619995,118.59478,107.75,7.02985,121.20446,157.039993,88.773369,148.190002,79.800003,126.93,107.584,126.16983,38.5,282.619995,209.369995,155.89119,229.75,51.815674,179.979996,68.315117,61.844334,98.10614
1/15/20,9035.669922,59.25032,342.940002,48.549999,112.529999,274.100006,1439.199951,1439.199951,1862.02002,233.463043,115.135941,264.279999,77.053429,61.105663,297.414276,190.789993,168.706528,139.399994,293.089996,88.870003,2065.159912,289.898193,71.940002,142.7603,73.878983,515.400024,113.919998,281.073303,46.379963,114.065079,60.830055,45.271904,96.669998,290.100159,74.003799,234.339996,73.029999,90.75,34.829258,109.464142,44.842216,110.33007,221.149994,35.376625,118.510002,61.598335,288.48999,320.390015,80.540001,57.163025,271.032928,597.23999,39.779999,174.28595,29.95945,293.496735,21.389999,20.5,243.490005,146.711731,60.02343,659.97998,105.830589,56.169998,161.098419,20.24,53.515652,65.879997,68.380165,339.070007,245.165436,130.768692,438.149994,75.363113,83.920944,114.849998,135.258316,38.669998,87.431404,390.75,117.408432,106.650002,7.089174,118.335022,156.020004,89.309967,147.910004,80.269997,126.610001,103.699997,124.721481,37.560001,276.200012,211.740005,157.650024,234.149994,51.635426,179.179993,65.807961,62.818714,97.337921
